date,signal,short_mavg,long_mavg,PX_LAST,rets,ret_cum_actual,positions,loop,ret_cum,inten,trend_sum,trend_sum2,days,entry_track,entry_level,index_dummy,trend_length
2000-11-13,-1.0,5.766000000000003,5.768690909090908,5.766,-0.017000000000000348,-3.0360000000000005,-2.0,5.766,0.0,0.0389999999999997,-0.06099999999999994,0.0,0.0,2000-11-06 00:00:00,5.855,2626,5.0
2001-01-29,1.0,5.303000000000005,5.289963636363636,5.303,0.03500000000000014,-3.4990000000000006,2.0,5.303,0.0,-0.851,-0.4630000000000001,0.0,0.0,2000-11-14 00:00:00,5.755,2681,54.0
2001-01-30,-1.0,5.229000000000005,5.280399999999999,5.229,-0.07399999999999984,-3.5730000000000004,-2.0,5.229,0.03500000000000014,,-0.07399999999999984,0.0,0.0,2001-01-30 00:00:00,5.229,2682,0.0
2001-02-22,1.0,5.1560000000000015,5.143636363636359,5.156,0.01699999999999946,-3.646000000000001,2.0,5.156,0.0,-0.1639999999999997,-0.0730000000000004,0.0,0.0,2001-01-31 00:00:00,5.114,2699,16.0
2001-02-23,-1.0,5.097000000000002,5.139963636363632,5.097,-0.058999999999999275,-3.705,-2.0,5.097,0.01699999999999946,,-0.058999999999999275,0.0,0.0,2001-02-23 00:00:00,5.097,2700,0.0
2001-04-10,1.0,5.082999999999997,5.008199999999994,5.083,0.1509999999999998,-3.7190000000000003,2.0,5.083,0.0,-0.32400000000000073,-0.014000000000000234,0.0,0.0,2001-02-26 00:00:00,5.034,2732,31.0
2001-06-14,-1.0,5.220999999999998,5.260472727272726,5.221,-0.041999999999999815,-3.5810000000000004,-2.0,5.221,0.0,0.4319999999999995,0.1379999999999999,0.0,0.0,2001-04-11 00:00:00,5.119,2779,46.0
2001-06-28,1.0,5.333999999999999,5.301036363636363,5.334,0.09899999999999931,-3.468000000000001,2.0,5.334,0.0,-0.10599999999999987,0.11299999999999955,0.0,0.0,2001-06-15 00:00:00,5.232,2789,9.0
2001-07-10,-1.0,5.273999999999999,5.320799999999997,5.274,-0.052999999999999936,-3.5280000000000005,-2.0,5.274,0.0,0.07800000000000029,-0.05999999999999961,0.0,0.0,2001-06-29 00:00:00,5.412,2797,7.0
2001-11-15,1.0,4.762000000000009,4.5810727272727245,4.7620000000000005,0.22300000000000075,-4.04,2.0,4.7620000000000005,0.0,-1.096,-0.5119999999999996,0.0,0.0,2001-07-11 00:00:00,5.289,2888,90.0
2002-01-15,-1.0,4.835000000000012,4.85705454545454,4.835,-0.04100000000000037,-3.9670000000000005,-2.0,4.835,0.0,0.4369999999999994,0.07299999999999951,0.0,0.0,2001-11-16 00:00:00,4.843,2931,42.0
2002-01-17,1.0,4.925000000000013,4.880545454545448,4.925,0.08599999999999941,-3.8770000000000007,2.0,4.925,0.0,0.004000000000000448,0.08999999999999986,0.0,0.0,2002-01-16 00:00:00,4.839,2933,1.0
2002-01-21,-1.0,4.892000000000014,4.901127272727266,4.892,-0.0019999999999997797,-3.91,-2.0,4.892,0.0,-0.030999999999999694,-0.032999999999999474,0.0,0.0,2002-01-18 00:00:00,4.894,2935,1.0
2002-01-22,1.0,4.919000000000014,4.913181818181813,4.9190000000000005,0.027000000000000135,-3.883,2.0,4.9190000000000005,-0.0019999999999997797,,0.027000000000000135,0.0,0.0,2002-01-22 00:00:00,4.9190000000000005,2936,0.0
2002-01-29,-1.0,4.942000000000013,4.979999999999994,4.942,-0.13100000000000023,-3.8600000000000003,-2.0,4.942,0.0,0.15200000000000014,0.022999999999999687,0.0,0.0,2002-01-23 00:00:00,5.029,2941,4.0
2002-01-30,1.0,5.014000000000014,4.988636363636359,5.014,0.07200000000000006,-3.7880000000000003,2.0,5.014,-0.13100000000000023,,0.07200000000000006,0.0,0.0,2002-01-30 00:00:00,5.014,2942,0.0
2002-02-01,-1.0,4.9850000000000145,4.99614545454545,4.985,-0.04800000000000004,-3.817,-2.0,4.985,0.0,-0.1120000000000001,-0.028999999999999915,0.0,0.0,2002-01-31 00:00:00,5.033,2944,1.0
2002-03-04,1.0,4.999000000000015,4.977709090909091,4.999,0.017999999999999794,-3.803000000000001,2.0,4.999,0.0,-0.1540000000000008,0.013999999999999346,0.0,0.0,2002-02-04 00:00:00,4.902,2965,20.0
2002-04-24,-1.0,5.111300000000012,5.14829090909091,5.1113,-0.04969999999999963,-3.6907000000000005,-2.0,5.1113,0.0,0.4270000000000005,0.11230000000000029,0.0,0.0,2002-03-05 00:00:00,5.001,3002,36.0
2002-05-08,1.0,5.216200000000015,5.180263636363636,5.2162,0.16219999999999946,-3.5858000000000008,2.0,5.2162,0.0,-0.057599999999999874,0.10489999999999977,0.0,0.0,2002-04-25 00:00:00,5.0928,3012,9.0
2002-05-09,-1.0,5.161900000000014,5.185879999999999,5.1619,-0.05429999999999957,-3.6401000000000003,-2.0,5.1619,0.16219999999999946,,-0.05429999999999957,0.0,0.0,2002-05-09 00:00:00,5.1619,3013,0.0
2002-05-13,1.0,5.220700000000014,5.1978254545454545,5.2207,0.10440000000000005,-3.5813000000000006,2.0,5.2207,0.0,0.11659999999999915,0.05879999999999974,0.0,0.0,2002-05-10 00:00:00,5.1163,3015,1.0
2002-05-16,-1.0,5.166500000000015,5.2168981818181805,5.1665,-0.07749999999999968,-3.6355000000000004,-2.0,5.1665,0.0,0.05480000000000018,-0.054199999999999804,0.0,0.0,2002-05-14 00:00:00,5.2755,3018,2.0
2002-05-17,1.0,5.2506000000000155,5.221799999999999,5.2506,0.08410000000000029,-3.5514,2.0,5.2506,-0.07749999999999968,,0.08410000000000029,0.0,0.0,2002-05-17 00:00:00,5.2506,3019,0.0
2002-05-20,-1.0,5.198200000000016,5.225421818181816,5.1982,-0.052400000000000446,-3.6038000000000006,-2.0,5.1982,0.08410000000000029,,-0.052400000000000446,0.0,0.0,2002-05-20 00:00:00,5.1982,3020,0.0
2002-10-16,1.0,4.0480000000000205,3.9869109090909087,4.048,0.055299999999999905,-4.753999999999997,2.0,4.048,0.0,-1.5470999999999995,-1.1502,0.0,0.0,2002-05-21 00:00:00,5.1481,3127,106.0
2002-10-29,-1.0,3.9382000000000215,3.9651436363636354,3.9382,-0.14729999999999954,-4.863799999999997,-2.0,3.9382,0.0,0.21039999999999992,-0.1097999999999999,0.0,0.0,2002-10-17 00:00:00,4.2002,3136,8.0
2002-11-01,1.0,4.0045000000000215,3.951216363636363,4.0045,0.1120000000000001,-4.797499999999998,2.0,4.0045,0.0,-0.045700000000000074,0.06630000000000003,0.0,0.0,2002-10-30 00:00:00,3.961,3139,2.0
2002-11-07,-1.0,3.8916000000000226,3.9347054545454534,3.8916,-0.14140000000000041,-4.910399999999997,-2.0,3.8916,0.0,0.06510000000000016,-0.11290000000000022,0.0,0.0,2002-11-04 00:00:00,4.0427,3143,3.0
2002-11-14,1.0,4.055600000000022,3.9046872727272706,4.0556,0.2168000000000001,-4.746399999999997,2.0,4.0556,0.0,-0.05279999999999996,0.16400000000000015,0.0,0.0,2002-11-08 00:00:00,3.8558,3148,4.0
2002-12-19,-1.0,3.9382000000000232,4.017025454545451,3.9382,-0.09609999999999985,-4.863799999999997,-2.0,3.9382,0.0,0.2023999999999999,-0.11739999999999995,0.0,0.0,2002-11-15 00:00:00,4.0287,3173,24.0
2003-01-06,1.0,4.051800000000021,4.030418181818178,4.0518,0.034900000000000375,-4.750199999999998,2.0,4.0518,0.0,-0.14329999999999998,0.11359999999999992,0.0,0.0,2002-12-20 00:00:00,3.9573,3185,11.0
2003-01-07,-1.0,4.005300000000021,4.02581636363636,4.0053,-0.046499999999999986,-4.796699999999998,-2.0,4.0053,0.034900000000000375,,-0.046499999999999986,0.0,0.0,2003-01-07 00:00:00,4.0053,3186,0.0
2003-01-09,1.0,4.179000000000022,4.023092727272724,4.179,0.16210000000000058,-4.6229999999999976,2.0,4.179,0.0,0.046499999999999986,0.1737000000000002,0.0,0.0,2003-01-08 00:00:00,4.0169,3188,1.0
2003-01-17,-1.0,4.009100000000019,4.032227272727269,4.0091,-0.06820000000000004,-4.792899999999998,-2.0,4.0091,0.0,-0.11929999999999996,-0.16990000000000016,0.0,0.0,2003-01-10 00:00:00,4.132,3194,5.0
